"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene200",3.57541095223872e-12,3.86530913755537e-11,-142.809361291943,-174.093856227076,7,2,432.791335275688,0,0,FALSE
"gene201",0.0719805615956234,0.124969793849622,-139.332842864175,-144.391464424998,7,2,318.415894307549,0,0,FALSE
"gene202",5.69934893677587e-30,2.27973957471035e-28,-111.536480946453,-185.055650758976,7,2,104.70028610073,0,0,FALSE
"gene203",2.48301603898802e-06,1.24290994295948e-05,-174.778045587213,-191.732281256308,7,2,1208.05676615298,0,0,FALSE
"gene204",0.931649196988007,0.943442224797982,-132.275636220282,-132.941424419538,7,2,267.341780016749,0,0,FALSE
"gene205",7.74913030816762e-22,1.63139585435108e-20,-103.016648287969,-157.361761085498,7,2,80.5592087018741,0,0,FALSE
"gene206",0.182572624548343,0.262117653718388,-151.391603728421,-155.168734044624,7,2,554.908601689728,0,0,FALSE
"gene207",0.62418036733793,0.691612595388289,-150.421611427286,-152.168992375945,7,2,465.70693945612,0,0,FALSE
"gene208",0.118434953365772,0.191175577705429,-113.4962363863,-117.883123476332,7,2,98.2200189611231,0,0,FALSE
"gene209",0.234258257460612,0.315499336647289,-142.128571022747,-145.539317181565,7,2,318.548724597601,0,0,FALSE
"gene210",0.905146231178413,0.928355108900936,-157.686773393303,-158.470544855469,7,2,782.13634090415,0,0,FALSE
"gene211",5.95550163108844e-06,2.83595315766116e-05,-175.126567161877,-191.123941687966,7,2,1403.11739477951,0,0,FALSE
"gene212",0.00630889215400303,0.0147576424655042,-108.851610879626,-116.949101080807,7,2,69.4249843665336,0,0,FALSE
"gene213",9.1211604092682e-05,0.00031725775336585,-179.506437160914,-192.481916360388,7,2,1510.32742329236,0,0,FALSE
"gene214",0.00184646113219296,0.00499043549241341,-156.629371061433,-166.176181095831,7,2,612.197064275419,0,0,FALSE
"gene215",0.176089244882744,0.256129810738536,-157.92392920693,-161.753167672862,7,2,744.418903093911,0,0,FALSE
